NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE, NOTES
	,,,,,68,Lutheran Church - Missouri Synod,,
	,,,,,69,Mennonite Church,,
	,,,,,71,United Methodist,,
	,,,,,73,Protestant Episcopal,,
	,,,,,74,Churches of Christ,,
	,,,,,75,Southern Baptist,,
	,,,,,76,United Church of Christ,,
	,,,,,77,"Protestant, not specified",,
	,,,,,78,Multiple Protestant Denomination,,
	,,,,,79,Other Protestant,,
	,,,,,80,Jewish,,
	,,,,,81,Reformed Presbyterian Church,,
	,,,,,84,United Brethren Church,,
	,,,,,87,Missionary Church Inc,,
	,,,,,88,Undenominational,,
	,,,,,89,Wesleyan,,
	,,,,,91,Greek Orthodox,,
	,,,,,92,Russian Orthodox,,
	,,,,,93,Unitarian Universalist,,
	,,,,,94,Latter Day Saints (Mormon Church),,
	,,,,,95,Seventh Day Adventists,,
	,,,,,97,The Presbyterian Church in America,,
	,,,,,99,Other (none of the above),,
	,,,,,100,Original Free Will Baptist,,
	,,,,,101,Ecumenical Christian,,
	,,,,,102,Evangelical Christian,,
	,,,,,103,Presbyterian,,
SATVR25: 
25th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.25th_percentile.critical_reading,float,SATVR25,,,IPEDS,Shown/used on consumer website.
SATVR75: 
75th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.75th_percentile.critical_reading,float,SATVR75,,,IPEDS,Shown/used on consumer website.
SATMT25: 
25th percentile of SAT scores at the institution (math),admissions,sat_scores.25th_percentile.math,float,SATMT25,,,IPEDS,Shown/used on consumer website.
SATMT75: 
75th percentile of SAT scores at the institution (math),admissions,sat_scores.75th_percentile.math,float,SATMT75,,,IPEDS,Shown/used on consumer website.
SATWR25: 
25th percentile of SAT scores at the institution (writing),admissions,sat_scores.25th_percentile.writing,float,SATWR25,,,IPEDS,Shown/used on consumer website.
SATWR75: 
75th percentile of SAT scores at the institution (writing),admissions,sat_scores.75th_percentile.writing,float,SATWR75,,,IPEDS,Shown/used on consumer website.
SATVRMID: 
Midpoint of SAT scores at the institution (critical reading),admissions,sat_scores.midpoint.critical_reading,float,SATVRMID,,,IPEDS,Shown/used on consumer website.
SATMTMID: 
Midpoint of SAT scores at the institution (math),admissions,sat_scores.midpoint.math,float,SATMTMID,,,IPEDS,Shown/used on consumer website.
SATWRMID: 
Midpoint of SAT scores at the institution (writing),admissions,sat_scores.midpoint.writing,float,SATWRMID,,,IPEDS,Shown/used on consumer website.
ACTCM25: 
25th percentile of the ACT cumulative score,admissions,act_scores.25th_percentile.cumulative,float,ACTCM25,,,IPEDS,Shown/used on consumer website.
ACTCM75: 
75th percentile of the ACT cumulative score,admissions,act_scores.75th_percentile.cumulative,float,ACTCM75,,,IPEDS,Shown/used on consumer website.
ACTEN25: 
25th percentile of the ACT English score,admissions,act_scores.25th_percentile.english,float,ACTEN25,,,IPEDS,Shown/used on consumer website.
ACTEN75: 
75th percentile of the ACT English score,admissions,act_scores.75th_percentile.english,float,ACTEN75,,,IPEDS,Shown/used on consumer website.
ACTMT25: 
25th percentile of the ACT math score,admissions,act_scores.25th_percentile.math,float,ACTMT25,,,IPEDS,Shown/used on consumer website.
ACTMT75: 
75th percentile of the ACT math score,admissions,act_scores.75th_percentile.math,float,ACTMT75,,,IPEDS,Shown/used on consumer website.
ACTWR25: 
25th percentile of the ACT writing score,admissions,act_scores.25th_percentile.writing,float,ACTWR25,,,IPEDS,Shown/used on consumer website.
ACTWR75: 
75th percentile of the ACT writing score,admissions,act_scores.75th_percentile.writing,float,ACTWR75,,,IPEDS,Shown/used on consumer website.
ACTCMMID: 
Midpoint of the ACT cumulative score,admissions,act_scores.midpoint.cumulative,float,ACTCMMID,,,IPEDS,Shown/used on consumer website.
ACTENMID: 
Midpoint of the ACT English score,admissions,act_scores.midpoint.english,float,ACTENMID,,,IPEDS,Shown/used on consumer website.
ACTMTMID: 
Midpoint of the ACT math score,admissions,act_scores.midpoint.math,float,ACTMTMID,,,IPEDS,Shown/used on consumer website.
ACTWRMID: 
Midpoint of the ACT writing score,admissions,act_scores.midpoint.writing,float,ACTWRMID,,,IPEDS,Shown/used on consumer website.
SAT_AVG: 
Average SAT equivalent score of students admitted,admissions,sat_scores.average.overall,float,SAT_AVG,,,IPEDS,Shown/used on consumer website.
SAT_AVG_ALL: 
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,admissions,sat_scores.average.by_ope_id,float,SAT_AVG_ALL,,,IPEDS,Shown/used on consumer website.
PCIP01: 
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",academics,program_percentage.agriculture,float,PCIP01,,"Agriculture, Agriculture Operations, and Related Sciences",IPEDS,Shown/used on consumer website.
PCIP03: 
Percentage of degrees awarded in Natural Resources And Conservation.,academics,program_percentage.resources,float,PCIP03,,Natural Resources and Conservation,IPEDS,Shown/used on consumer website.
PCIP04: 
Percentage of degrees awarded in Architecture And Related Services.,academics,program_percentage.architecture,float,PCIP04,,Architecture and Related Services,IPEDS,Shown/used on consumer website.
PCIP05: 
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",academics,program_percentage.ethnic_cultural_gender,float,PCIP05,,"Area, Ethnic, Cultural, Gender, and Group Studies",IPEDS,Shown/used on consumer website.
PCIP09: 
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",academics,program_percentage.communication,float,PCIP09,,"Communication, Journalism, and Related Programs",IPEDS,Shown/used on consumer website.
PCIP10: 
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,academics,program_percentage.communications_technology,float,PCIP10,,Communications Technologies/Technicians and Support Services,IPEDS,Shown/used on consumer website.
PCIP11: 
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,academics,program_percentage.computer,float,PCIP11,,Computer and Information Sciences and Support Services,IPEDS,Shown/used on consumer website.
PCIP12: 
Percentage of degrees awarded in Personal And Culinary Services.,academics,program_percentage.personal_culinary,float,PCIP12,,Personal and Culinary Services,IPEDS,Shown/used on consumer website.
PCIP13: 
Percentage of degrees awarded in Education.,academics,program_percentage.education,float,PCIP13,,Education,IPEDS,Shown/used on consumer website.
PCIP14: 
Percentage of degrees awarded in Engineering.,academics,program_percentage.engineering,float,PCIP14,,Engineering,IPEDS,Shown/used on consumer website.
PCIP15: 
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,academics,program_percentage.engineering_technology,float,PCIP15,,Engineering Technologies and Engineering-Related Fields,IPEDS,Shown/used on consumer website.
PCIP16: 
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",academics,program_percentage.language,float,PCIP16,,"Foreign Languages, Literatures, and Linguistics",IPEDS,Shown/used on consumer website.
PCIP19: 
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,academics,program_percentage.family_consumer_science,float,PCIP19,,Family and Consumer Sciences/Human Sciences,IPEDS,Shown/used on consumer website.
PCIP22: 
Percentage of degrees awarded in Legal Professions And Studies.,academics,program_percentage.legal,float,PCIP22,,Legal Professions and Studies,IPEDS,Shown/used on consumer website.
PCIP23: 
Percentage of degrees awarded in English Language And Literature/Letters.,academics,program_percentage.english,float,PCIP23,,English Language and Literature/Letters,IPEDS,Shown/used on consumer website.
PCIP24: 
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",academics,program_percentage.humanities,float,PCIP24,,"Liberal Arts and Sciences, General Studies and Humanities",IPEDS,Shown/used on consumer website.
PCIP25: 
Percentage of degrees awarded in Library Science.,academics,program_percentage.library,float,PCIP25,,Library Science,IPEDS,Shown/used on consumer website.
PCIP26: 
Percentage of degrees awarded in Biological And Biomedical Sciences.,academics,program_percentage.biological,float,PCIP26,,Biological and Biomedical Sciences,IPEDS,Shown/used on consumer website.
PCIP27: 
Percentage of degrees awarded in Mathematics And Statistics.,academics,program_percentage.mathematics,float,PCIP27,,Mathematics and Statistics,IPEDS,Shown/used on consumer website.
PCIP29: 
Percentage of degrees awarded in Military Technologies And Applied Sciences.,academics,program_percentage.military,float,PCIP29,,Military Technologies and Applied Sciences,IPEDS,Shown/used on consumer website.
PCIP30: 
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,academics,program_percentage.multidiscipline,float,PCIP30,,Multi/Interdisciplinary Studies,IPEDS,Shown/used on consumer website.
PCIP31: 
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",academics,program_percentage.parks_recreation_fitness,float,PCIP31,,"Parks, Recreation, Leisure, and Fitness Studies",IPEDS,Shown/used on consumer website.
PCIP38: 
Percentage of degrees awarded in Philosophy And Religious Studies.,academics,program_percentage.philosophy_religious,float,PCIP38,,Philosophy and Religious Studies,IPEDS,Shown/used on consumer website.
PCIP39: 
Percentage of degrees awarded in Theology And Religious Vocations.,academics,program_percentage.theology_religious_vocation,float,PCIP39,,Theology and Religious Vocations,IPEDS,Shown/used on consumer website.
PCIP40: 
Percentage of degrees awarded in Physical Sciences.,academics,program_percentage.physical_science,float,PCIP40,,Physical Sciences,IPEDS,Shown/used on consumer website.
PCIP41: 
Percentage of degrees awarded in Science Technologies/Technicians.,academics,program_percentage.science_technology,float,PCIP41,,Science Technologies/Technicians,IPEDS,Shown/used on consumer website.
PCIP42: 
Percentage of degrees awarded in Psychology.,academics,program_percentage.psychology,float,PCIP42,,Psychology,IPEDS,Shown/used on consumer website.
PCIP43: 
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",academics,program_percentage.security_law_enforcement,float,PCIP43,,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",IPEDS,Shown/used on consumer website.
PCIP44: 
Percentage of degrees awarded in Public Administration And Social Service Professions.,academics,program_percentage.public_administration_social_service,float,PCIP44,,Public Administration and Social Service Professions,IPEDS,Shown/used on consumer website.
PCIP45: 
Percentage of degrees awarded in Social Sciences.,academics,program_percentage.social_science,float,PCIP45,,Social Sciences,IPEDS,Shown/used on consumer website.
PCIP46: 
Percentage of degrees awarded in Construction Trades.,academics,program_percentage.construction,float,PCIP46,,Construction Trades,IPEDS,Shown/used on consumer website.
PCIP47: 
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,academics,program_percentage.mechanic_repair_technology,float,PCIP47,,Mechanic and Repair Technologies/Technicians,IPEDS,Shown/used on consumer website.
PCIP48: 
Percentage of degrees awarded in Precision Production.,academics,program_percentage.precision_production,float,PCIP48,,Precision Production,IPEDS,Shown/used on consumer website.
PCIP49: 
Percentage of degrees awarded in Transportation And Materials Moving.,academics,program_percentage.transportation,float,PCIP49,,Transportation and Materials Moving,IPEDS,Shown/used on consumer website.
PCIP50: 
Percentage of degrees awarded in Visual And Performing Arts.,academics,program_percentage.visual_performing,float,PCIP50,,Visual and Performing Arts,IPEDS,Shown/used on consumer website.
PCIP51: 
Percentage of degrees awarded in Health Professions And Related Programs.,academics,program_percentage.health,float,PCIP51,,Health Professions and Related Programs,IPEDS,Shown/used on consumer website.
PCIP52: 
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",academics,program_percentage.business_marketing,float,PCIP52,,"Business, Management, Marketing, and Related Support Services",IPEDS,Shown/used on consumer website.
PCIP54: 
Percentage of degrees awarded in History.,academics,program_percentage.history,float,PCIP54,,History,IPEDS,Shown/used on consumer website.
DISTANCEONLY: 
Flag for distance-education-only education,school,online_only,integer,DISTANCEONLY,0,Not distance-education only,IPEDS,Shown/used on consumer website.
	,,,,,1,Distance-education only,,
UGDS: 
Enrollment of undergraduate certificate/degree-seeking students,student,size,integer,UGDS,,,IPEDS,Shown/used on consumer website;    Not available in 2000-2001 datafile
UGDS_WHITE: 
Total share of enrollment of undergraduate degree-seeking students who are white,student,demographics.race_ethnicity.white,float,UGDS_WHITE,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_BLACK: 
Total share of enrollment of undergraduate degree-seeking students who are black,student,demographics.race_ethnicity.black,float,UGDS_BLACK,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_HISP: 
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,student,demographics.race_ethnicity.hispanic,float,UGDS_HISP,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_ASIAN: 
Total share of enrollment of undergraduate degree-seeking students who are Asian,student,demographics.race_ethnicity.asian,float,UGDS_ASIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_AIAN: 
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,student,demographics.race_ethnicity.aian,float,UGDS_AIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_NHPI: 
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,student,demographics.race_ethnicity.nhpi,float,UGDS_NHPI,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_2MOR: 
Total share of enrollment of undergraduate degree-seeking students who are two or more races,student,demographics.race_ethnicity.two_or_more,float,UGDS_2MOR,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_NRA: 
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,student,demographics.race_ethnicity.non_resident_alien,float,UGDS_NRA,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
UGDS_UNKN: 
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,student,demographics.race_ethnicity.unknown,float,UGDS_UNKN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
PPTUG_EF: 
"Share of undergraduate, degree-/certificate-seeking students who are part-time",student,part_time_share,float,PPTUG_EF,,,IPEDS,"Shown/used on consumer website;    The proportion of degree/certificate-seeking undergraduates enrolled part time in the fall term, calculated from the IPEDS Fall Enrollment component. This metric does not apply during 2000-01, when degree/certificate-seeking status was not collected. It is calculated as the number of part-time, degree/certificate-seeking undergraduates divided by the total number of degree/certificate-seeking undergraduates. It includes non-first-time undergraduates. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
CURROPER: 
"Flag for currently operating institution, 0=closed, 1=operating",school,operating,integer,CURROPER,0,Not currently certified as an operating institution,FSA,Shown/used on consumer website.
	,,,,,1,Currently certified as operating,,
NPT4_PUB: 
Average net price for Title IV institutions (public institutions),cost,avg_net_price.public,integer,NPT4_PUB,,,IPEDS,"Shown/used on consumer website;    The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions. For public institutions, this metric is limited to full-time, first-time, degree/certificate-seeking undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. The total cost of attendance depends on whether full-time, first-time, degree/certificate-seeking undergraduates live on campus, off campus (not with family), or off campus (with family). For academic-year institutions, net price represents an average of all programs and includes only full-time, first-time, degree/certificate-seeking undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution and it includes full-time, first-time, degree/certificate-seeking undergraduates who first enrolled at any time during the academic year. For programs less than 1 year in length (see LProgram), this represents the net price for the full program. This metric is not available prior to the 2009-10 academic year."
NPT4_PRIV: 
Average net price for Title IV institutions (private for-profit and nonprofit institutions),cost,avg_net_price.private,integer,NPT4_PRIV,,,IPEDS,Shown/used on consumer website;    ibid
NPT41_PUB: 
"Average net price for $0-$30,000 family income (public institutions)",cost,net_price.public.by_income_level.0-30000,integer,NPT41_PUB,,,IPEDS,"Shown/used on consumer website;    The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid, by detailed income category. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions for each of  the following five income categories: $0-$30,000; $30,001-$48,000; $48,001-$75,000; $75,001-$110,000; $110,001 or more. For public institutions, this metric is limited to full-time, first-time, degree/certificate-seeking undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. For academic-year institutions, net price represents an average of all programs and includes only full-time, first-time, degree/certificate-seeking undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution and it includes full-time, first-time, degree/certificate-seeking undergraduates who first enrolled at any time during the academic year. For programs less than 1 year in length (see LProgram), this represents the net price for the full program. The total cost of attendance depends on whether full-time, first-time, degree/certificate-seeking undergraduates live on campus, off campus (not with family), or off campus (with family). Income categories are calculated from the income values used by the institution to calculate financial aid eligibility. For a dependent student, this includes the student's and the parents' income. For an independent student, this includes the student's adjusted gross income and, if the student is married, the spouse's income. This metric is not available prior to the 2009-10 academic year."
NPT42_PUB: 
"Average net price for $30,001-$48,000 family income (public institutions)",cost,net_price.public.by_income_level.30001-48000,integer,NPT42_PUB,,,IPEDS,Shown/used on consumer website;    ibid
NPT43_PUB: 
"Average net price for $48,001-$75,000 family income (public institutions)",cost,net_price.public.by_income_level.48001-75000,integer,NPT43_PUB,,,IPEDS,Shown/used on consumer website;    ibid
NPT44_PUB: 
"Average net price for $75,001-$110,000 family income (public institutions)",cost,net_price.public.by_income_level.75001-110000,integer,NPT44_PUB,,,IPEDS,Shown/used on consumer website;    ibid
NPT45_PUB: 
"Average net price for $110,000+ family income (public institutions)",cost,net_price.public.by_income_level.110001-plus,integer,NPT45_PUB,,,IPEDS,Shown/used on consumer website;    ibid
NPT41_PRIV: 
"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.0-30000,integer,NPT41_PRIV,,,IPEDS,Shown/used on consumer website;    ibid
NPT42_PRIV: 
"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.30001-48000,integer,NPT42_PRIV,,,IPEDS,Shown/used on consumer website;    ibid
NPT43_PRIV: 
"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.48001-75000,integer,NPT43_PRIV,,,IPEDS,Shown/used on consumer website;    ibid
NPT44_PRIV: 
"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.75001-110000,integer,NPT44_PRIV,,,IPEDS,Shown/used on consumer website;    ibid
NPT45_PRIV: 
"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.110001-plus,integer,NPT45_PRIV,,,IPEDS,Shown/used on consumer website;    ibid
PCTPELL: 
Percentage of undergraduates who receive a Pell Grant,aid,pell_grant_rate,float,PCTPELL,,,IPEDS,"Shown/used on consumer website;    The proportion of undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of Pell grant recipients divided by the count of all undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008-09 academic year."
RET_FT4: 
"First-time, full-time student retention rate at four-year institutions",student,retention_rate.four_year.full_time,float,RET_FT4,,,IPEDS,"Shown/used on consumer website;    The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to full-time, first-time, bachelor's or quivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all full-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
RET_FTL4: 
"First-time, full-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.full_time,float,RET_FTL4,,,IPEDS,Shown/used on consumer website;    ibid
RET_PT4: 
"First-time, part-time student retention rate at four-year institutions",student,retention_rate.four_year.part_time,float,RET_PT4,,,IPEDS,"Shown/used on consumer website;    The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to part-time, first-time, bachelor's or quivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all part-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
RET_PTL4: 
